Name,MapDate,DSCI
High Plains,20120821,328
High Plains,20120828,335
High Plains,20120904,359
High Plains,20120911,364
High Plains,20120918,364
High Plains,20120925,368
High Plains,20121002,376
High Plains,20121009,376
High Plains,20121016,372
High Plains,20121023,369
High Plains,20121030,367
High Plains,20121106,365
High Plains,20121113,359
High Plains,20121120,359
High Plains,20121127,363
High Plains,20121204,364
High Plains,20121211,363
High Plains,20121218,365
High Plains,20121225,365
High Plains,20130101,365
High Plains,20130108,361
High Plains,20130115,363
High Plains,20130122,363
High Plains,20130129,363
High Plains,20130205,364
High Plains,20130212,356
High Plains,20130219,356
High Plains,20130226,353
High Plains,20130305,350
High Plains,20130312,348
High Plains,20130319,348
High Plains,20130326,345
High Plains,20130402,345
High Plains,20130409,332
High Plains,20130416,304
High Plains,20130423,294
High Plains,20130430,287
High Plains,20130507,280
High Plains,20130514,275
High Plains,20130521,258
High Plains,20130528,242
High Plains,20130604,224
High Plains,20130611,221
High Plains,20130618,224
High Plains,20130625,219
High Plains,20130702,220
High Plains,20130709,221
High Plains,20130716,223
High Plains,20130723,225
High Plains,20130730,220
High Plains,20130806,204
High Plains,20130813,193
High Plains,20130820,189
High Plains,20130827,200
High Plains,20130903,196
High Plains,20130910,196
High Plains,20130917,161
High Plains,20130924,153
High Plains,20131001,136
High Plains,20131008,113
High Plains,20131015,99
High Plains,20131022,89
High Plains,20131029,88
High Plains,20131105,83
High Plains,20131112,83
High Plains,20131119,89
High Plains,20131126,89
High Plains,20131203,89
High Plains,20131210,89
High Plains,20131217,91
High Plains,20131224,90
High Plains,20131231,90
High Plains,20140107,90
High Plains,20140114,90
High Plains,20140121,90
High Plains,20140128,98
High Plains,20140204,98
High Plains,20140211,94
High Plains,20140218,90
High Plains,20140225,91
High Plains,20140304,91
High Plains,20140311,89
High Plains,20140318,94
High Plains,20140325,96
High Plains,20140401,101
High Plains,20140408,104
High Plains,20140415,103
High Plains,20140422,108
High Plains,20140429,108
High Plains,20140506,116
High Plains,20140513,109
High Plains,20140520,109
High Plains,20140527,109
High Plains,20140603,104
High Plains,20140610,84
High Plains,20140617,79
High Plains,20140624,77
High Plains,20140701,71
High Plains,20140708,72
High Plains,20140715,64
High Plains,20140722,64
High Plains,20140729,69
High Plains,20140805,70
High Plains,20140812,66
High Plains,20140819,65
High Plains,20140826,62
High Plains,20140902,51
High Plains,20140909,44
High Plains,20140916,42
High Plains,20140923,41
High Plains,20140930,40
High Plains,20141007,39
High Plains,20141014,36
High Plains,20141021,36
High Plains,20141028,37
High Plains,20141104,39
High Plains,20141111,43
High Plains,20141118,43
High Plains,20141125,53
High Plains,20141202,57
High Plains,20141209,57
High Plains,20141216,56
High Plains,20141223,58
High Plains,20141230,58
High Plains,20150106,58
High Plains,20150113,58
High Plains,20150120,61
High Plains,20150127,67
High Plains,20150203,68
High Plains,20150210,72
High Plains,20150217,79
High Plains,20150224,80
High Plains,20150303,80
High Plains,20150310,82
High Plains,20150317,94
High Plains,20150324,109
High Plains,20150331,121
High Plains,20150407,124
High Plains,20150414,128
High Plains,20150421,121
High Plains,20150428,125
High Plains,20150505,126
High Plains,20150512,98
High Plains,20150519,67
High Plains,20150526,38
High Plains,20150602,34
High Plains,20150609,26
High Plains,20150616,21
High Plains,20150623,19
High Plains,20150630,19
High Plains,20150707,15
High Plains,20150714,11
High Plains,20150721,12
High Plains,20150728,16
High Plains,20150804,16
High Plains,20150811,7
High Plains,20150818,6
High Plains,20150825,6
High Plains,20150901,8
High Plains,20150908,14
High Plains,20150915,14
High Plains,20150922,22
High Plains,20150929,25
High Plains,20151006,27
High Plains,20151013,34
High Plains,20151020,50
High Plains,20151027,45
High Plains,20151103,45
High Plains,20151110,43
High Plains,20151117,42
High Plains,20151124,39
High Plains,20151201,36
High Plains,20151208,36
High Plains,20151215,26
High Plains,20151222,24
High Plains,20151229,23
High Plains,20160105,25
High Plains,20160112,26
High Plains,20160119,25
High Plains,20160126,25
High Plains,20160202,30
High Plains,20160209,29
High Plains,20160216,29
High Plains,20160223,30
High Plains,20160301,33
High Plains,20160308,38
High Plains,20160315,45
High Plains,20160322,53
High Plains,20160329,58
High Plains,20160405,62
High Plains,20160412,70
High Plains,20160419,45
High Plains,20160426,31
High Plains,20160503,16
High Plains,20160510,10
High Plains,20160517,9
High Plains,20160524,9
High Plains,20160531,10
High Plains,20160607,16
High Plains,20160614,20
High Plains,20160621,25
High Plains,20160628,39
High Plains,20160705,35
High Plains,20160712,32
High Plains,20160719,48
High Plains,20160726,54
High Plains,20160802,56
High Plains,20160809,59
High Plains,20160816,53
High Plains,20160823,52
High Plains,20160830,49
High Plains,20160906,45
High Plains,20160913,44
High Plains,20160920,44
High Plains,20160927,41
High Plains,20161004,36
High Plains,20161011,32
High Plains,20161018,39
High Plains,20161025,48
High Plains,20161101,62
High Plains,20161108,67
High Plains,20161115,75
High Plains,20161122,78
High Plains,20161129,84
High Plains,20161206,85
High Plains,20161213,83
High Plains,20161220,83
High Plains,20161227,75
High Plains,20170103,75
High Plains,20170110,69
High Plains,20170117,62
High Plains,20170124,61
High Plains,20170131,57
High Plains,20170207,57
High Plains,20170214,57
High Plains,20170221,57
High Plains,20170228,55
High Plains,20170307,57
High Plains,20170314,58
High Plains,20170321,66
High Plains,20170328,57
High Plains,20170404,41
High Plains,20170411,36
High Plains,20170418,34
High Plains,20170425,24
High Plains,20170502,8
High Plains,20170509,15
High Plains,20170516,16
High Plains,20170523,18
High Plains,20170530,32
High Plains,20170606,52
High Plains,20170613,54
High Plains,20170620,59
High Plains,20170627,77
High Plains,20170704,83
High Plains,20170711,97
High Plains,20170718,110
High Plains,20170725,121
High Plains,20170801,117
High Plains,20170808,108
High Plains,20170815,103
High Plains,20170822,91
High Plains,20170829,93
High Plains,20170905,93
High Plains,20170912,101
High Plains,20170919,97
High Plains,20170926,75
High Plains,20171003,69
High Plains,20171010,63
High Plains,20171017,51
High Plains,20171024,53
High Plains,20171031,53
High Plains,20171107,52
High Plains,20171114,53
High Plains,20171121,57
High Plains,20171128,65
High Plains,20171205,83
High Plains,20171212,105
High Plains,20171219,111
High Plains,20171226,114
High Plains,20180102,117
High Plains,20180109,135
High Plains,20180116,136
High Plains,20180123,135
High Plains,20180130,137
High Plains,20180206,139
High Plains,20180213,131
High Plains,20180220,135
High Plains,20180227,132
High Plains,20180306,134
High Plains,20180313,139
High Plains,20180320,136
High Plains,20180327,134
High Plains,20180403,132
High Plains,20180410,132
High Plains,20180417,122
High Plains,20180424,123
High Plains,20180501,126
High Plains,20180508,127
High Plains,20180515,125
High Plains,20180522,119
High Plains,20180529,119
High Plains,20180605,121
High Plains,20180612,117
High Plains,20180619,105
High Plains,20180626,98
High Plains,20180703,93
High Plains,20180710,93
High Plains,20180717,92
High Plains,20180724,93
High Plains,20180731,95
High Plains,20180807,94
High Plains,20180814,105
High Plains,20180821,108
High Plains,20180828,102
High Plains,20180904,99
High Plains,20180911,98
High Plains,20180918,103
High Plains,20180925,109
High Plains,20181002,105
High Plains,20181009,93
High Plains,20181016,87
High Plains,20181023,87
High Plains,20181030,81
High Plains,20181106,81
High Plains,20181113,79
High Plains,20181120,77
High Plains,20181127,77
High Plains,20181204,69
High Plains,20181211,69
High Plains,20181218,69
High Plains,20181225,70
High Plains,20190101,67
High Plains,20190108,67
High Plains,20190115,69
High Plains,20190122,64
High Plains,20190129,63
High Plains,20190205,65
High Plains,20190212,64
